0;"09-2014/0001";7;03.09.2014;"17";"";"";"";0,0000;"";0,00;"H";"EUR";0,000000;"EUR";"";"";"Kfz-Betankung HF-KW 400";1000;0,00;624,92;0,00;0,00;4105;0;3;1;11;1;1;1;1;"-";0;0;0;0;0;"RE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;7;;;"";"";"";"";;;;0
0;"09-2014/0001";7;03.09.2014;"17";"";"";"";0,0000;"";0,00;"S";"EUR";0,000000;"EUR";"";"";"Kfz-Betankung HF-KW 400";4105;624,92;0,00;0,00;0,00;1000;0;3;1;11;1;1;2;1;"-";0;0;0;0;0;"RE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;7;;;"";"";"";"";;;;0
0;"09-2014/0001";8;03.09.2014;"18";"";"";"";0,0000;"";0,00;"H";"EUR";0,000000;"EUR";"";"";"Portokosten";1000;0,00;99,35;0,00;0,00;4188;0;3;1;11;1;1;1;1;"-";0;0;0;0;0;"SV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;8;;;"";"";"";"";;;;0
0;"09-2014/0001";8;03.09.2014;"18";"";"";"";0,0000;"";0,00;"S";"EUR";0,000000;"EUR";"";"";"Portokosten";4188;99,35;0,00;0,00;0,00;1000;0;3;1;11;1;1;2;1;"-";0;0;0;0;0;"SV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;8;;;"";"";"";"";;;;0
0;"09-2014/0001";9;03.09.2014;"19";"";"";"";0,0000;"";0,00;"H";"EUR";0,000000;"EUR";"";"";"Portokosten";1000;0,00;47,80;0,00;0,00;4188;0;3;1;11;1;1;1;1;"-";0;0;0;0;0;"SV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;9;;;"";"";"";"";;;;0
0;"09-2014/0001";9;03.09.2014;"19";"";"";"";0,0000;"";0,00;"S";"EUR";0,000000;"EUR";"";"";"Portokosten";4188;47,80;0,00;0,00;0,00;1000;0;3;1;11;1;1;2;1;"-";0;0;0;0;0;"SV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;9;;;"";"";"";"";;;;0
0;"09-2014/0001";10;04.09.2014;"20";"";"";"";0,0000;"";0,00;"H";"EUR";0,000000;"EUR";"";"";"Portokosten";1000;0,00;40,60;0,00;0,00;4188;0;3;1;11;1;1;1;1;"-";0;0;0;0;0;"SV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;10;;;"";"";"";"";;;;0
0;"09-2014/0001";10;04.09.2014;"20";"";"";"";0,0000;"";0,00;"S";"EUR";0,000000;"EUR";"";"";"Portokosten";4188;40,60;0,00;0,00;0,00;1000;0;3;1;11;1;1;2;1;"-";0;0;0;0;0;"SV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;10;;;"";"";"";"";;;;0
0;"09-2014/0001";11;04.09.2014;"21";"";"";"";0,0000;"";0,00;"H";"EUR";0,000000;"EUR";"";"";"Dt. Post Versandkosten (19%)";1000;0,00;1439,76;0,00;0,00;4187;0;3;1;11;1;1;1;1;"-";0;0;0;0;0;"RE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;11;;;"";"";"";"";;;;0
0;"09-2014/0001";11;04.09.2014;"21";"";"";"";0,0000;"";0,00;"S";"EUR";0,000000;"EUR";"";"";"Dt. Post Versandkosten (19%)";4187;1439,76;0,00;0,00;0,00;1000;0;3;1;11;1;1;2;1;"-";0;0;0;0;0;"RE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;11;;;"";"";"";"";;;;0
